class,nel
2,"[2, 3, 2]"
3,"[4, 3]"
2,"[2, 2]"
4,"[4, 4]"
4,"[2, 4, 3, 2]"
4,"[4, 17, 17, 17, 17]"
2,"[2, 2]"
4,"[4, 3, 17]"
2,"[2, 4, 2]"
2,"[2, 4, 8, 17, 17]"
4,"[17, 4, 3, 4, 17]"
2,"[2, 4, 3, 2, 4, 17, 17, 17, 17]"
4,"[2, 4, 4]"
2,"[2, 2]"
2,"[2, 4, 2, 17]"
4,"[4, 3, 4, 17]"
4,[4]
3,"[2, 3]"
4,"[17, 4, 8, 4, 17, 17]"
3,"[5, 5, 3]"
4,[4]
3,"[17, 3]"
17,"[17, 17, 7, 17, 17]"
5,"[5, 17, 17]"
17,"[17, 17, 17]"
17,"[4, 17]"
6,"[6, 17, 17, 17, 17]"
0,"[2, 0, 17]"
5,"[5, 17, 17, 3]"
17,"[17, 17, 17, 17]"
0,"[5, 0, 17, 17, 17, 17]"
17,"[17, 17]"
17,"[17, 3, 17]"
4,"[4, 17]"
5,"[5, 17, 17]"
5,"[2, 5, 17, 17]"
6,"[6, 17]"
17,"[17, 17]"
5,"[5, 17]"
5,"[5, 17, 17]"
17,"[17, 3]"
17,"[5, 17]"
17,"[2, 17, 17, 17, 17, 17]"
17,"[17, 17]"
17,"[0, 17, 17, 17]"
5,"[5, 0, 17]"
17,"[6, 17]"
17,"[2, 17, 17, 17, 17]"
17,"[17, 3, 17]"
0,"[5, 0, 17, 5, 17]"
17,"[4, 17]"
4,"[2, 4]"
5,"[5, 17, 17]"
17,"[17, 17, 17]"
17,"[17, 0, 17, 17, 17, 17]"
17,"[17, 3]"
17,"[17, 2, 17, 8, 1, 17, 17, 17, 17]"
17,"[17, 0, 17, 17]"
17,"[17, 17, 17]"
17,"[17, 17]"
17,"[17, 17, 17]"
17,"[17, 17, 0, 17, 17, 17, 17]"
4,"[2, 4]"
5,"[5, 0, 17]"
17,"[17, 4, 17, 17]"
17,"[17, 17]"
0,"[5, 0, 17]"
0,"[17, 0, 17, 17, 17]"
17,"[2, 17, 3]"
17,"[17, 3]"
5,"[5, 17, 17, 0, 17]"
17,"[17, 17]"
5,"[5, 4, 17, 17]"
5,"[5, 17]"
17,"[17, 6, 17, 17, 17]"
17,"[0, 17]"
2,"[2, 0, 0, 17, 17]"
17,"[17, 17]"
17,"[17, 3]"
0,"[0, 17, 17]"
17,"[0, 17, 17, 17]"
17,"[17, 4, 17, 17]"
17,"[5, 17]"
17,[5]
2,"[2, 17]"
0,"[0, 17, 17]"
17,"[17, 17, 17]"
17,"[0, 17, 17]"
17,"[17, 17, 17]"
17,"[6, 4, 17, 17]"
0,"[17, 0, 17, 17]"
17,"[5, 17, 17, 17]"
17,"[3, 17, 17, 17]"
5,[5]
2,"[2, 0, 0, 17, 17]"
17,"[17, 17, 17]"
17,"[0, 17, 17, 17, 17, 17]"
6,"[17, 17, 6, 17, 17, 17]"
17,"[17, 17]"
3,[3]
5,"[5, 17, 17]"
17,"[17, 17]"
0,"[0, 17]"
0,"[5, 0, 17, 17]"
17,"[2, 5, 17, 17]"
17,"[17, 17, 17, 17]"
6,[6]
17,"[5, 17]"
17,"[2, 17, 17, 17]"
17,"[0, 17, 17]"
17,"[4, 17, 4]"
5,"[5, 0, 0, 17]"
17,"[4, 17]"
2,"[2, 0, 0, 17, 17]"
17,"[1, 17]"
17,"[17, 17]"
17,"[4, 17, 17, 17]"
0,"[5, 0, 17]"
17,"[2, 17]"
17,"[6, 17, 17]"
17,"[0, 17, 17]"
2,"[2, 17, 17, 17, 17, 17]"
17,"[17, 10, 17]"
17,"[17, 17]"
0,"[5, 0, 17, 3]"
2,"[2, 17, 17, 17]"
17,"[17, 2, 17]"
17,"[17, 6, 17, 17, 17]"
17,"[17, 17]"
2,"[2, 10]"
17,"[5, 17, 17, 17, 17, 17]"
4,"[2, 4]"
5,[5]
6,"[17, 6, 10, 17, 17, 17, 17]"
17,"[17, 3]"
6,"[6, 17]"
17,"[17, 17]"
17,"[2, 17]"
17,"[17, 17]"
0,"[2, 17, 17, 0, 17, 17, 17]"
17,"[5, 17, 17]"
3,"[2, 17, 3, 17, 17, 17, 17]"
17,"[0, 17, 17]"
17,"[6, 17, 17, 17]"
17,"[17, 3, 17]"
17,"[17, 17, 0, 17, 17, 17]"
17,"[17, 17]"
0,"[5, 0, 17, 17, 5, 17, 17, 17]"
17,"[17, 3, 17]"
3,"[4, 17, 3, 4, 17]"
0,"[0, 17, 17]"
3,"[3, 17]"
17,"[17, 17]"
6,"[6, 17]"
17,"[2, 17, 2, 17, 3]"
17,"[17, 17]"
17,[17]
3,"[2, 3]"
17,"[6, 4, 4, 17, 17, 17]"
17,"[17, 17, 17]"
2,"[2, 4, 17]"
0,"[2, 5, 0, 5, 17]"
17,"[5, 0, 17, 17]"
17,"[2, 17, 17]"
17,"[17, 17]"
0,"[5, 0, 17]"
17,"[17, 17]"
17,"[17, 17, 17]"
17,"[17, 17]"
17,"[17, 3]"
17,"[17, 17]"
2,"[2, 4]"
17,"[17, 17, 17]"
6,[6]
4,"[2, 4]"
17,"[2, 17]"
6,"[6, 4, 17, 17]"
0,"[0, 17]"
5,"[5, 0, 0, 17]"
6,"[6, 11, 17]"
17,"[17, 17, 17]"
17,"[17, 17]"
2,"[2, 17, 17, 17, 17]"
5,"[2, 5]"
17,"[17, 17]"
0,"[0, 17, 17]"
17,"[17, 17, 15, 17]"
17,"[0, 17]"
17,"[17, 17, 17]"
17,[15]
0,"[0, 17, 17, 17]"
17,[]
0,"[0, 17]"
17,"[17, 15, 17, 17, 17]"
9,"[0, 9, 9, 0, 17, 17]"
0,"[17, 0, 0, 17, 17]"
17,"[17, 17, 17, 17]"
17,"[0, 17, 17, 17]"
17,"[0, 17, 17]"
17,"[17, 9]"
0,"[0, 17, 0, 17, 17]"
17,"[17, 17, 17]"
0,"[0, 0, 0, 9, 0, 17, 17]"
17,"[0, 17, 17, 17]"
17,"[17, 17, 17, 17, 17, 17]"
0,"[0, 0, 0, 17, 0, 17, 17]"
9,"[15, 9, 9]"
17,"[17, 9]"
17,"[17, 17]"
0,"[0, 15, 0, 0, 0, 17]"
9,"[15, 9, 9]"
17,"[17, 17, 15, 17, 17, 17, 17]"
0,"[0, 15, 0, 0, 17, 0, 17, 17]"
17,"[17, 17, 15, 17, 17, 17, 17, 17, 17, 17]"
9,"[17, 15, 9, 17, 9, 17, 17, 17, 17]"
17,"[17, 17, 0, 17, 17, 17, 17, 17, 17]"
17,"[17, 17, 17, 15, 17, 17, 17, 17, 17, 17, 17]"
0,"[9, 17, 17]"
0,"[0, 17]"
0,"[0, 17, 17, 17]"
0,"[0, 17, 17, 17]"
17,[15]
9,"[0, 9, 0, 17, 17]"
0,"[0, 9, 17, 17]"
17,"[0, 17, 17, 17]"
17,"[0, 17, 17, 17, 17, 17, 17]"
17,"[0, 17, 17, 17]"
0,"[17, 0, 17, 17]"
17,[5]
17,"[17, 17, 17]"
17,"[17, 9, 9, 17, 17, 17]"
17,"[17, 0, 0, 17, 17]"
0,"[17, 17, 0, 17, 17]"
17,"[17, 17, 17, 17]"
17,"[17, 0, 17, 17]"
0,"[17, 0, 17, 17, 17, 17, 17]"
0,"[0, 17, 17, 17, 17, 17, 17]"
0,"[0, 17, 17, 17]"
0,"[0, 17, 17, 17]"
17,"[0, 0, 17]"
2,"[2, 4]"
2,"[17, 2, 4, 4, 17]"
2,"[2, 4, 17]"
4,"[2, 4, 4]"
2,"[17, 2]"
2,"[2, 2]"
2,"[2, 2, 17]"
2,"[17, 2]"
2,[2]
2,"[2, 4]"
4,"[2, 4]"
2,[2]
2,"[2, 4, 4]"
4,"[2, 4, 4]"
2,"[2, 6]"
2,"[2, 4]"
4,"[6, 4, 17]"
2,"[17, 2]"
4,"[2, 4, 4]"
4,"[2, 4, 4]"
2,"[2, 4]"
2,[2]
2,"[2, 4]"
2,"[2, 4]"
2,[2]
2,[2]
4,"[2, 4]"
2,[2]
4,"[2, 4, 17]"
2,"[2, 4, 17]"
2,[2]
2,"[2, 17]"
2,"[2, 10, 2]"
2,"[2, 4, 2, 17]"
4,"[2, 4, 2, 4]"
4,"[2, 4, 2, 17, 17]"
2,"[17, 2, 10, 17, 17]"
2,"[17, 2]"
2,"[17, 2, 4, 17, 17, 17]"
2,"[17, 2]"
2,"[17, 2, 17, 17, 17]"
0,"[17, 0, 17, 17, 17]"
4,"[4, 17]"
4,[4]
2,"[2, 4]"
17,"[17, 17]"
4,"[2, 4]"
2,[2]
17,"[4, 17]"
2,"[2, 4]"
0,"[4, 0, 17]"
2,"[2, 4]"
2,"[2, 4]"
2,[2]
17,"[17, 5, 17, 17, 17]"
17,"[17, 17, 5, 17, 17, 17]"
4,"[4, 17]"
2,"[17, 2, 10, 17]"
4,"[4, 0, 17, 17, 17]"
2,"[2, 4]"
17,"[17, 5, 17, 17, 17]"
2,"[2, 4]"
0,"[4, 0, 17]"
0,"[17, 0, 17]"
4,"[4, 17]"
2,"[2, 4]"
17,"[4, 17]"
4,"[2, 4]"
2,[2]
2,"[17, 2]"
2,"[2, 10]"
2,"[2, 4]"
2,"[2, 4]"
4,"[4, 17]"
17,"[17, 17, 17, 17]"
2,"[2, 4, 17]"
2,"[17, 2, 4, 17]"
17,"[4, 17, 17, 17]"
17,"[17, 17, 17]"
2,[2]
4,"[2, 10]"
17,"[4, 17, 17]"
2,"[2, 17, 17, 17]"
4,"[2, 4, 17]"
17,[17]
17,[17]
2,[2]
2,"[17, 2, 17]"
2,"[2, 4, 17]"
17,"[17, 1]"
11,"[6, 1, 11, 17]"
17,[17]
17,[17]
5,"[6, 17, 17]"
17,[17]
17,"[17, 17, 17]"
11,"[17, 11]"
17,"[0, 17, 17, 17]"
8,"[17, 8]"
17,"[10, 17]"
8,"[17, 8]"
17,"[10, 17]"
17,"[17, 17, 17]"
1,"[4, 1, 17, 17, 4]"
2,"[2, 6]"
10,"[2, 10]"
8,"[17, 8]"
1,"[4, 1]"
17,"[1, 17, 17]"
17,"[17, 17, 17, 17]"
8,"[17, 8]"
17,"[17, 1]"
8,"[17, 8]"
17,"[17, 1]"
17,"[17, 1]"
17,"[17, 1, 17, 17]"
17,"[17, 17]"
17,"[10, 17]"
17,"[2, 17, 1, 17, 17]"
2,"[2, 4, 11, 11]"
17,"[1, 17, 17, 17]"
1,"[6, 1, 17, 17]"
10,"[17, 2, 10, 17]"
17,"[17, 1]"
4,"[2, 4, 4]"
4,"[2, 4, 4]"
8,"[17, 8, 8]"
1,"[4, 1]"
11,"[2, 11]"
17,"[17, 1]"
17,"[1, 17, 17]"
8,"[8, 17]"
17,"[17, 17]"
17,"[17, 17]"
17,"[17, 17]"
17,"[17, 17]"
17,"[17, 10, 17, 17, 17]"
17,"[17, 1]"
17,"[17, 1]"
11,"[6, 11, 17]"
17,"[2, 10, 17, 17]"
17,"[17, 6, 1, 17, 17, 17]"
17,"[17, 1, 17]"
10,"[17, 5, 10, 1, 17, 17, 17, 17, 17]"
8,"[17, 8, 1, 8, 17]"
17,"[4, 1, 17]"
1,"[17, 8, 1, 17, 8]"
17,"[17, 17, 1, 17, 17, 17, 17, 17]"
5,"[17, 5, 8, 17, 8]"
17,"[17, 17]"
8,"[17, 8, 17, 17]"
2,"[2, 10]"
11,"[2, 11]"
2,"[2, 4, 4]"
4,"[2, 6, 4, 1, 17, 4, 17]"
17,"[1, 17, 17, 17]"
8,"[17, 5, 8, 1, 17, 17]"
8,"[17, 5, 8, 1, 17, 17]"
11,"[2, 6, 4, 11]"
2,"[2, 4, 17, 4]"
2,"[2, 17, 17, 17]"
8,"[17, 8, 17, 8]"
8,"[17, 8, 1, 8, 17]"
17,"[17, 4, 17, 17, 17]"
17,[17]
8,"[8, 17]"
17,"[4, 17, 1, 4]"
17,"[17, 1, 17, 17]"
1,"[1, 17, 17, 17, 17, 17]"
17,"[17, 17, 17]"
11,"[1, 11]"
17,"[10, 17]"
17,"[17, 17]"
11,"[17, 11]"
17,"[10, 17]"
17,"[17, 1, 17, 17]"
17,"[17, 1]"
11,"[2, 4, 11]"
1,[1]
11,"[1, 11]"
5,"[5, 1]"
8,"[8, 1, 17]"
8,"[17, 8, 17]"
17,"[17, 1, 17, 17]"
8,"[17, 8]"
11,"[4, 11]"
2,"[2, 6, 4]"
8,"[17, 8, 17]"
2,"[2, 4, 17]"
11,"[2, 11]"
17,"[1, 17, 17]"
5,"[5, 6, 1, 17, 17]"
1,"[6, 17, 1, 17, 17, 17]"
17,"[6, 17, 1, 17]"
17,"[1, 17, 17, 17]"
17,"[6, 17, 1, 17, 17, 17, 17]"
2,"[2, 17]"
17,"[10, 17]"
17,[17]
17,"[17, 1, 17, 17]"
1,"[1, 17]"
17,"[17, 1]"
1,"[1, 11, 11]"
17,"[17, 17, 17]"
11,"[6, 11, 17]"
17,"[2, 17]"
17,"[17, 1]"
8,"[17, 8]"
4,"[2, 4, 4]"
4,"[2, 4, 4]"
17,"[10, 17]"
2,"[2, 10]"
8,"[8, 17]"
2,"[2, 10]"
11,"[1, 11]"
17,"[17, 1, 17]"
11,"[6, 11]"
2,"[2, 6]"
5,[5]
17,"[17, 17, 17, 17]"
5,"[5, 8, 17]"
17,"[17, 17, 17, 17]"
17,"[17, 17, 17, 17]"
17,"[17, 17, 17]"
5,"[5, 8, 17]"
17,"[17, 17]"
17,"[17, 17, 17, 17]"
5,"[17, 5, 17, 17]"
5,"[17, 5, 8]"
0,"[0, 17]"
0,"[17, 0, 17]"
17,"[17, 17]"
17,"[0, 17, 17]"
17,"[17, 17]"
17,[17]
17,"[17, 17, 17]"
5,"[5, 17, 17, 17]"
17,"[0, 17, 17]"
0,"[0, 17, 17]"
17,"[17, 17, 17]"
0,"[0, 17]"
17,"[17, 17, 17]"
0,"[17, 0, 17, 17]"
17,"[17, 17]"
3,"[3, 17]"
3,[3]
2,"[2, 6, 2]"
3,"[0, 3, 17]"
17,"[2, 4, 17]"
5,"[17, 5]"
17,"[2, 6, 4, 17]"
2,"[2, 4, 17, 17, 17, 17]"
5,"[17, 2, 5, 17, 17, 17]"
17,"[17, 3, 17, 17, 17, 17, 17]"
4,"[2, 6, 4, 17, 17, 4]"
17,"[2, 2, 17, 17, 17, 17, 17, 17]"
4,"[2, 4]"
17,"[4, 17, 17]"
3,"[4, 3]"
17,"[3, 17, 17]"
3,"[3, 17]"
17,"[6, 17, 17]"
17,"[17, 3]"
17,"[17, 3]"
2,"[2, 4]"
17,[17]
4,"[2, 4, 2]"
17,"[2, 17, 2]"
3,"[3, 17]"
2,"[2, 4, 17]"
2,"[17, 2, 4, 17]"
17,"[4, 17, 3]"
4,"[4, 3]"
17,"[2, 4, 17]"
2,"[17, 2, 4, 17, 2, 3]"
2,"[2, 4, 2, 3]"
4,"[4, 3]"
2,"[2, 4, 17, 2, 17, 3]"
17,"[17, 3]"
4,"[2, 4]"
5,"[5, 17]"
17,"[2, 17, 2, 3]"
4,"[4, 3]"
5,"[5, 17, 17]"
17,"[17, 2, 4, 17]"
2,"[2, 4, 17]"
17,"[17, 3, 17]"
2,"[2, 4]"
2,"[17, 2, 4, 17]"
4,"[4, 3, 17]"
4,"[4, 3]"
3,"[4, 3]"
4,"[2, 4]"
4,"[4, 3]"
17,"[4, 17]"
2,"[2, 6, 2, 3]"
17,"[17, 3, 17, 17, 17, 17]"
2,"[2, 4, 17, 17]"
4,"[4, 3, 17, 17, 17, 17, 4, 17]"
4,"[4, 3, 17, 17, 17, 17]"
17,"[2, 4, 17, 17, 17]"
17,"[17, 3]"
2,"[2, 17, 2]"
2,"[2, 2, 3]"
4,"[4, 3]"
2,"[17, 2, 4, 17]"
4,"[4, 17, 17]"
17,"[4, 3, 17, 17]"
2,"[2, 4, 17, 2, 17, 3]"
4,"[4, 17, 3, 17, 17, 17]"
5,"[2, 5]"
17,"[17, 17, 17, 17, 3]"
2,"[2, 17, 2, 3]"
4,"[6, 4]"
17,"[2, 6, 4, 17, 17]"
17,"[4, 17]"
4,"[4, 3]"
4,"[2, 5, 4, 17, 17]"
4,"[4, 3, 17]"
2,"[2, 6, 4, 17]"
2,"[2, 4, 17, 17, 17, 17, 17]"
3,"[0, 3, 17, 17, 17]"
3,"[17, 3, 17, 17, 17]"
4,"[2, 4, 17]"
4,"[17, 2, 4, 3]"
17,"[2, 6, 17]"
3,"[6, 3]"
4,"[17, 17]"
17,"[17, 17]"
17,"[17, 3]"
15,"[17, 15]"
17,"[17, 17, 17, 17]"
17,[17]
15,"[15, 17]"
17,"[15, 17, 17, 17]"
5,"[5, 5]"
17,[17]
5,[5]
15,"[5, 17, 15, 17]"
5,"[5, 15]"
15,"[5, 17, 15, 17]"
15,"[5, 17, 15, 17]"
17,"[17, 17]"
17,"[17, 17, 17, 17]"
17,"[17, 17, 17, 17, 17, 17, 17]"
17,"[17, 17]"
17,"[17, 17, 17, 17, 17, 17, 17]"
17,"[15, 17, 17, 17]"
15,[15]
17,"[15, 17, 17, 17]"
15,[15]
17,"[17, 15, 17, 17]"
17,"[17, 17, 17, 17, 17, 17, 17]"
15,[15]
17,"[17, 15, 17]"
15,[15]
17,"[17, 17]"
17,"[17, 17]"
17,"[17, 17, 17, 17, 17, 17]"
17,"[17, 17, 17, 17, 17, 17, 17]"
17,"[17, 15, 17]"
5,"[5, 17, 5]"
15,"[17, 15, 17]"
5,"[5, 15, 17, 5]"
17,"[17, 17, 17, 17, 17, 17, 17, 17]"
15,[15]
17,"[17, 15, 17]"
17,"[17, 15, 17]"
17,"[17, 15, 17, 17, 17, 17]"
17,"[17, 15, 17, 17, 17, 17]"
15,[15]
15,[15]
15,"[17, 15, 17, 17, 17, 17]"
5,"[5, 17]"
17,"[17, 17, 15, 17, 17, 17, 17]"
17,"[17, 17, 15, 17, 17, 17, 17, 17, 17]"
5,"[5, 15]"
5,[5]
17,"[17, 15, 17, 17, 17]"
5,"[5, 14, 17, 5]"
15,"[17, 15]"
5,"[5, 14, 17, 5]"
15,"[17, 15]"
17,"[17, 17, 17, 17, 17, 17]"
17,"[17, 15, 17, 17, 17]"
17,"[17, 17]"
17,"[17, 17, 17, 17, 17, 17, 17, 17]"
15,[15]
15,"[15, 17]"
17,"[17, 15, 17]"
15,[15]
17,"[17, 17, 17, 17, 17, 17, 17]"
15,"[17, 15, 17]"
17,"[17, 17]"
17,[17]
17,"[17, 17, 17, 17]"
0,"[2, 10, 17]"
17,"[2, 10, 17]"
0,"[0, 0, 17, 17, 17]"
17,"[10, 17]"
10,"[17, 10, 17]"
17,"[10, 17]"
4,"[17, 10, 17]"
17,"[2, 17]"
17,"[17, 10]"
17,"[2, 10, 17]"
17,[10]
17,"[17, 17, 7, 17, 17]"
17,[10]
17,"[17, 17, 17, 7, 17, 17]"
10,"[17, 4, 17]"
17,"[17, 10]"
17,"[17, 17, 17]"
17,"[17, 17, 17, 7, 17, 17]"
17,"[17, 10]"
17,"[17, 10, 17, 17]"
2,"[2, 10, 2]"
0,"[17, 6, 0, 10, 0, 17, 17, 17]"
17,"[17, 17, 10, 17, 17, 17]"
2,"[2, 6, 10, 2]"
17,"[17, 17, 17, 17]"
17,"[17, 17]"
2,"[2, 10]"
17,"[17, 17, 17, 17]"
17,"[17, 17]"
0,"[17, 0, 0, 17]"
17,"[6, 17]"
2,"[2, 10, 17]"
17,"[10, 17]"
17,"[17, 17]"
17,"[17, 17, 17]"
17,"[17, 10, 17]"
17,"[17, 17, 17, 17]"
17,"[17, 17, 17, 17]"
0,"[2, 0, 10, 0, 17]"
17,"[5, 17, 17, 17]"
2,"[2, 10, 17]"
17,"[17, 17]"
17,"[17, 17, 17]"
17,"[17, 17, 17]"
0,"[17, 4, 0, 0, 17]"
17,"[17, 10, 17, 17]"
0,"[17, 0, 10, 0, 17]"
17,"[17, 17]"
17,"[2, 10, 17]"
17,"[10, 17]"
17,"[17, 10, 17]"
17,"[10, 17]"
17,"[17, 10, 17]"
17,"[17, 10]"
10,"[17, 10]"
17,"[10, 17]"
17,"[17, 10]"
17,"[10, 17]"
10,"[17, 10]"
17,"[10, 17]"
17,"[17, 10, 17]"
17,"[17, 10, 17]"
17,"[17, 17, 17, 17, 17]"
17,"[17, 17, 10, 17, 17, 17, 17]"
17,"[6, 17, 10]"
17,[17]
4,"[4, 0, 0, 17]"
17,"[17, 17]"
17,"[10, 17]"
17,"[17, 17, 10, 17]"
2,"[2, 6, 17, 10, 2, 17]"
17,"[17, 17, 10, 17, 17]"
17,"[17, 5, 17, 10, 17]"
17,"[17, 17, 10, 17, 17]"
17,"[17, 17, 17]"
0,"[0, 10, 0, 17]"
17,"[17, 10, 17]"
17,"[17, 17]"
17,"[17, 17]"
4,"[17, 4, 17, 17, 7, 17]"
17,"[5, 17, 17, 17]"
2,"[2, 4, 17, 17, 17, 17]"
17,"[4, 17, 17, 17]"
17,"[17, 17]"
17,[17]
17,"[10, 17]"
17,"[17, 10, 17]"
17,"[5, 17, 17]"
17,"[10, 17]"
17,"[10, 17]"
17,"[17, 10]"
17,"[17, 17, 17]"
17,"[17, 10, 17, 17]"
17,"[6, 17, 17, 17]"
17,"[6, 17, 10, 17]"
17,"[10, 17, 17]"
17,"[17, 17, 17, 17]"
17,"[17, 10, 17, 17]"
17,"[10, 17]"
17,"[17, 17]"
